"","SRR23426222","SRR23426221","SRR23426220","SRR23426219","SRR23426218","SRR23426217","SRR23426216","SRR23426214","SRR23426213","SRR23426212","SRR23426215","SRR23426211","SRR23426210","SRR23426209","SRR23426208"
"CAETHG_RS11250",0,0,0,3.3675955203769,0.471841677067752,0.824337382512263,1.19559545941292,4.73191848974303,1.16123983461273,2.82916796634299,0.971752810616566,3.39770108362033,1.53854335160174,0,1.00860064160558
"CAETHG_RS11305",40.9804970014926,58.3566079784583,26.5219292492589,11.7865843213192,3.77473341654202,10.7163859726594,131.515500535421,10.6468166019218,44.1271137152836,29.7062636466014,27.2090786972639,6.79540216724065,23.0781502740261,19.5768741970256,14.1204089824782
"CAETHG_RS11310",116313.726300236,189273.637058259,218722.372229251,91942.9347962103,35842.5093150977,136999.926949243,102140.915693105,27821.3147604442,171455.900340734,207725.999592802,163464.370790676,82957.137090646,65803.4991480064,99228.6496799905,137599.351131684
"CAETHG_RS11315",4.43032400016136,0,2.65219292492589,0.841898880094226,0,0.824337382512263,1.19559545941292,4.73191848974303,3.48371950383818,1.4145839831715,1.94350562123313,1.13256702787344,3.84635837900435,2.17520824411396,1.00860064160558
"CAETHG_RS11320",2.21516200008068,0,1.32609646246295,2.52569664028268,0.471841677067752,2.47301214753679,1.19559545941292,1.18297962243576,1.16123983461273,1.4145839831715,0.971752810616566,0,0.76927167580087,0,1.00860064160558
"CAETHG_RS11385",21.0440390007665,10.1892490121118,58.3482443483696,282.036124831566,50.4870594462495,32.9734953004905,32.2810774041488,23.6595924487152,47.6108332191217,45.2666874614879,15.5480449698651,14.7233713623547,10.0005317854113,64.1686432013618,42.3612269474346
"CAETHG_RS11390",50805.8480528505,50930.4980393583,32810.2786742582,27712.7854360616,5606.8946485961,49489.9190965062,50638.2500879747,35434.9716104407,46284.697327994,64862.9193803627,25962.3198412428,65737.5879988582,40155.2122051296,36310.7512189943,99703.1992246369
"CAETHG_RS11395",11.0758100004034,12.0418397415866,11.9348681621665,4.20949440047113,9.9086752184228,14.8380728852207,20.3251228100196,34.306409050637,16.2573576845782,1.4145839831715,27.2090786972639,27.1816086689626,28.4630520046322,2.17520824411396,28.2408179649564
"CAETHG_RS11405",2.21516200008068,2.7788860942123,1.32609646246295,3.3675955203769,2.83105006240651,3.29734953004905,0,0,1.16123983461273,0,0.971752810616566,1.13256702787344,2.30781502740261,1.08760412205698,0
"CAETHG_RS11980",52.056307001896,76.882515273207,42.4350867988143,52.197730565842,93.424652059415,70.8930148960546,45.4326274576908,39.03832754038,52.2557925575726,45.2666874614879,49.5593933414449,53.2306503100518,55.3875606576627,42.4165607602222,29.249418606562
"CAETHG_RS11985",7.75306700028239,24.0836794831733,18.5653504744812,24.4150675227325,25.9512922387264,41.2168691256132,22.7163137288454,14.1957554692291,10.4511585115145,19.804175764401,14.5762921592485,23.7839075853423,13.0776184886148,15.2264577087977,14.1204089824782
"CAETHG_RS11990",46.5184020016943,50.0199496958214,54.3699549609808,93.4507756904591,118.432260944006,89.0284373113244,46.6282229171038,46.1362052749946,38.3209145422199,57.9979433100314,47.6158877202117,43.0375470591908,62.3110057398705,72.8694761778176,51.4386327218848
